data_lenth, frameIdx, cars_speed(m/s), heading_angle(degree), ground_noise, cfar_num, x(m), y(m), z(m), distance(m), speed(m/s), azi_angle(degree), pitch_angle(degree), range_Idx, doppler_Idx, angle_Idx, SNR
49 ,32735 ,0.00 ,0.00 ,1073 ,1 ,-1.90 ,1.11 ,0.19 ,2.21 ,1.68 ,-59.24 ,5.00, 53, 16, 255, 31
49 ,32736 ,0.00 ,0.00 ,1061 ,1 ,-1.90 ,1.11 ,0.19 ,2.21 ,1.68 ,-59.24 ,5.00, 53, 16, 255, 31
68 ,32737 ,0.00 ,0.00 ,1046 ,2 ,-1.90 ,1.11 ,0.19 ,2.21 ,1.68 ,-59.24 ,5.00, 53, 16, 255, 31
68 ,32737 ,0.00 ,0.00 ,1046 ,2 ,-11.50 ,7.78 ,-0.16 ,13.89 ,-0.73 ,-55.90 ,-0.68, 333, 121, 255, 16
49 ,32738 ,0.00 ,0.00 ,1047 ,1 ,-1.90 ,1.11 ,0.19 ,2.21 ,1.68 ,-59.24 ,5.00, 53, 16, 255, 31
68 ,32742 ,0.00 ,0.00 ,1065 ,2 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
68 ,32742 ,0.00 ,0.00 ,1065 ,2 ,-11.02 ,7.39 ,0.99 ,13.31 ,-1.47 ,-55.90 ,4.30, 319, 114, 255, 18
68 ,32743 ,0.00 ,0.00 ,1041 ,2 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
68 ,32743 ,0.00 ,0.00 ,1041 ,2 ,-11.02 ,7.44 ,0.57 ,13.31 ,-1.47 ,-55.90 ,2.47, 319, 114, 255, 18
87 ,32744 ,0.00 ,0.00 ,1064 ,3 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
87 ,32744 ,0.00 ,0.00 ,1064 ,3 ,-10.74 ,7.71 ,-0.20 ,13.23 ,-1.15 ,-54.34 ,-0.88, 317, 117, 255, 16
87 ,32744 ,0.00 ,0.00 ,1064 ,3 ,-10.74 ,7.70 ,-0.30 ,13.23 ,-1.26 ,-54.34 ,-1.32, 317, 116, 255, 15
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.74 ,7.71 ,-0.20 ,13.23 ,-1.15 ,-54.34 ,-0.88, 317, 117, 255, 16
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.61 ,7.56 ,0.87 ,13.06 ,-1.26 ,-54.34 ,3.82, 313, 116, 255, 18
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.85 ,7.33 ,0.48 ,13.10 ,-1.15 ,-55.90 ,2.10, 314, 117, 255, 18
125 ,32745 ,0.00 ,0.00 ,1053 ,5 ,-10.47 ,7.94 ,0.00 ,13.14 ,-1.26 ,-52.83 ,0.03, 315, 116, 255, 15
68 ,32746 ,0.00 ,0.00 ,1043 ,2 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
68 ,32746 ,0.00 ,0.00 ,1043 ,2 ,-10.74 ,7.71 ,-0.20 ,13.23 ,-1.15 ,-54.34 ,-0.88, 317, 117, 255, 16
106 ,32747 ,0.00 ,0.00 ,1061 ,4 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
106 ,32747 ,0.00 ,0.00 ,1061 ,4 ,-10.74 ,7.71 ,-0.20 ,13.23 ,-1.15 ,-54.34 ,-0.88, 317, 117, 255, 16
106 ,32747 ,0.00 ,0.00 ,1061 ,4 ,-10.71 ,7.18 ,0.99 ,12.93 ,-1.15 ,-55.90 ,4.43, 310, 117, 255, 18
106 ,32747 ,0.00 ,0.00 ,1061 ,4 ,-10.74 ,7.22 ,0.84 ,12.97 ,-1.15 ,-55.90 ,3.72, 311, 117, 255, 16
68 ,32748 ,0.00 ,0.00 ,1051 ,2 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
68 ,32748 ,0.00 ,0.00 ,1051 ,2 ,-10.74 ,7.71 ,-0.20 ,13.23 ,-1.15 ,-54.34 ,-0.88, 317, 117, 255, 16
68 ,32749 ,0.00 ,0.00 ,1038 ,2 ,-10.98 ,7.88 ,0.04 ,13.52 ,-1.57 ,-54.34 ,0.20, 324, 113, 255, 16
68 ,32749 ,0.00 ,0.00 ,1038 ,2 ,-10.14 ,7.68 ,-0.35 ,12.72 ,-1.68 ,-52.83 ,-1.58, 305, 112, 255, 18
68 ,32750 ,0.00 ,0.00 ,1029 ,2 ,-9.87 ,7.89 ,-0.22 ,12.64 ,-0.84 ,-51.37 ,-1.03, 303, 120, 255, 18
68 ,32750 ,0.00 ,0.00 ,1029 ,2 ,-10.14 ,7.68 ,-0.35 ,12.72 ,-1.68 ,-52.83 ,-1.58, 305, 112, 255, 18
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-10.24 ,7.28 ,0.95 ,12.60 ,-1.15 ,-54.34 ,4.32, 302, 117, 255, 18
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-10.14 ,7.66 ,-0.57 ,12.72 ,-1.15 ,-52.83 ,-2.59, 305, 117, 255, 18
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-10.07 ,7.62 ,-0.40 ,12.64 ,-1.89 ,-52.83 ,-1.85, 303, 110, 255, 20
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-10.07 ,7.63 ,-0.25 ,12.64 ,-1.78 ,-52.83 ,-1.16, 303, 111, 255, 19
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-10.47 ,6.93 ,1.46 ,12.64 ,-1.15 ,-55.90 ,6.65, 303, 117, 255, 16
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-10.14 ,7.68 ,-0.34 ,12.72 ,-1.26 ,-52.83 ,-1.54, 305, 116, 255, 16
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-1.61 ,1.00 ,0.22 ,1.91 ,1.47 ,-57.53 ,6.58, 46, 14, 255, 28
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-1.50 ,1.31 ,-0.13 ,2.00 ,2.73 ,-48.59 ,-3.96, 48, 26, 255, 29
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-1.62 ,1.07 ,0.21 ,1.96 ,1.36 ,-55.90 ,6.37, 47, 13, 255, 38
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-1.83 ,1.29 ,-0.19 ,2.25 ,2.31 ,-54.34 ,-5.01, 54, 22, 255, 29
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-1.58 ,0.98 ,0.23 ,1.87 ,-1.26 ,-54.34 ,3.44, 302, 116, 255, 15
258 ,32751 ,0.00 ,0.00 ,1043 ,12 ,-9.91 ,7.71 ,-1.76 ,12.68 ,-1.15 ,-51.37 ,-8.01, 304, 117, 255, 15
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-10.20 ,7.23 ,1.14 ,12.56 ,-1.15 ,-54.34 ,5.24, 301, 117, 255, 22
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-10.17 ,7.29 ,0.09 ,12.52 ,-2.10 ,-54.34 ,0.44, 300, 108, 255, 18
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-9.94 ,7.53 ,0.37 ,12.47 ,-2.10 ,-52.83 ,1.69, 299, 108, 255, 18
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-10.20 ,7.22 ,1.18 ,12.56 ,-1.26 ,-54.34 ,5.42, 301, 116, 255, 16
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-9.97 ,7.55 ,0.32 ,12.52 ,-1.99 ,-52.83 ,1.50, 300, 109, 255, 16
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-10.14 ,7.68 ,-0.34 ,12.72 ,-1.26 ,-52.83 ,-1.54, 305, 116, 255, 16
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-1.61 ,1.00 ,0.22 ,1.91 ,1.47 ,-57.53 ,6.58, 46, 14, 255, 18
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-10.47 ,7.03 ,0.84 ,12.64 ,-1.26 ,-55.90 ,3.81, 303, 116, 255, 15
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-10.11 ,7.64 ,-0.52 ,12.68 ,-1.89 ,-52.83 ,-2.36, 304, 110, 255, 16
220 ,32752 ,0.00 ,0.00 ,1060 ,10 ,-10.04 ,7.60 ,-0.30 ,12.60 ,-1.89 ,-52.83 ,-1.38, 302, 110, 255, 15
144 ,32753 ,0.00 ,0.00 ,1029 ,6 ,-10.04 ,7.56 ,0.86 ,12.60 ,-1.15 ,-52.83 ,3.95, 302, 117, 255, 15
144 ,32753 ,0.00 ,0.00 ,1029 ,6 ,-10.17 ,7.29 ,0.09 ,12.52 ,-2.10 ,-54.34 ,0.44, 300, 108, 255, 18
144 ,32753 ,0.00 ,0.00 ,1029 ,6 ,-9.94 ,7.53 ,0.37 ,12.47 ,-2.10 ,-52.83 ,1.69, 299, 108, 255, 18
144 ,32753 ,0.00 ,0.00 ,1029 ,6 ,-10.20 ,7.22 ,1.18 ,12.56 ,-1.26 ,-54.34 ,5.42, 301, 116, 255, 16
144 ,32753 ,0.00 ,0.00 ,1029 ,6 ,-9.97 ,7.55 ,0.32 ,12.52 ,-1.99 ,-52.83 ,1.50, 300, 109, 255, 16
144 ,32753 ,0.00 ,0.00 ,1029 ,6 ,-10.14 ,7.68 ,-0.34 ,12.72 ,-1.26 ,-52.83 ,-1.54, 305, 116, 255, 16
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-10.10 ,7.18 ,0.93 ,12.43 ,-1.15 ,-54.34 ,4.32, 298, 117, 255, 21
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-9.94 ,7.53 ,0.00 ,12.47 ,-0.42 ,-52.83 ,-0.04, 299, 124, 255, 18
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-9.97 ,7.55 ,-0.42 ,12.52 ,-1.15 ,-52.83 ,-1.93, 300, 117, 255, 19
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-9.78 ,7.81 ,-0.10 ,12.52 ,-0.84 ,-51.37 ,-0.48, 300, 120, 255, 20
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-10.07 ,7.16 ,0.94 ,12.39 ,-1.15 ,-54.34 ,4.38, 297, 117, 255, 20
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-9.78 ,7.81 ,-0.28 ,12.52 ,-0.94 ,-51.37 ,-1.29, 300, 119, 255, 18
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-9.78 ,7.80 ,-0.49 ,12.52 ,-0.31 ,-51.37 ,-2.26, 300, 125, 255, 16
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-10.17 ,7.29 ,-0.02 ,12.52 ,-2.20 ,-54.34 ,-0.10, 300, 107, 255, 15
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-9.94 ,7.52 ,0.42 ,12.47 ,-1.99 ,-52.83 ,1.92, 299, 109, 255, 16
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-10.24 ,7.25 ,1.16 ,12.60 ,-1.26 ,-54.34 ,5.30, 302, 116, 255, 15
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-10.24 ,7.30 ,0.75 ,12.60 ,-0.84 ,-51.37 ,-1.57, 301, 120, 255, 15
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-9.94 ,7.53 ,0.04 ,12.47 ,-0.94 ,-52.83 ,0.21, 299, 119, 255, 16
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-10.26 ,6.85 ,1.11 ,12.39 ,-1.26 ,-55.90 ,5.14, 297, 116, 255, 15
296 ,32754 ,0.00 ,0.00 ,1090 ,14 ,-9.94 ,7.53 ,0.00 ,12.47 ,-0.84 ,-52.83 ,-0.04, 299, 120, 255, 15
106 ,32755 ,0.00 ,0.00 ,1077 ,4 ,-10.10 ,7.18 ,0.93 ,12.43 ,-1.15 ,-54.34 ,4.32, 298, 117, 255, 21
106 ,32755 ,0.00 ,0.00 ,1077 ,4 ,-9.94 ,7.53 ,0.00 ,12.47 ,-0.42 ,-52.83 ,-0.04, 299, 124, 255, 18
106 ,32755 ,0.00 ,0.00 ,1077 ,4 ,-9.71 ,7.75 ,-0.23 ,12.43 ,-1.15 ,-51.37 ,-1.10, 298, 117, 255, 15
106 ,32755 ,0.00 ,0.00 ,1077 ,4 ,-9.87 ,7.48 ,0.04 ,12.39 ,-1.15 ,-52.83 ,0.18, 297, 117, 255, 15
144 ,32756 ,0.00 ,0.00 ,1088 ,6 ,-9.45 ,7.55 ,-0.17 ,12.10 ,-2.94 ,-51.37 ,-0.83, 290, 100, 255, 16
144 ,32756 ,0.00 ,0.00 ,1088 ,6 ,-9.65 ,7.69 ,0.55 ,12.35 ,-1.36 ,-51.37 ,2.55, 296, 115, 255, 18
144 ,32756 ,0.00 ,0.00 ,1088 ,6 ,-9.45 ,7.55 ,-0.15 ,12.10 ,-2.84 ,-51.37 ,-0.71, 290, 101, 255, 15
144 ,32756 ,0.00 ,0.00 ,1088 ,6 ,-9.87 ,7.48 ,0.04 ,12.35 ,-1.26 ,-52.83 ,0.84, 296, 116, 255, 16
144 ,32756 ,0.00 ,0.00 ,1088 ,6 ,-9.87 ,7.48 ,0.35 ,12.39 ,-1.36 ,-52.83 ,1.65, 297, 115, 255, 16
144 ,32756 ,0.00 ,0.00 ,1088 ,6 ,-10.07 ,7.22 ,0.16 ,12.39 ,-1.26 ,-54.34 ,0.76, 297, 116, 255, 15
125 ,32757 ,0.00 ,0.00 ,1055 ,5 ,-9.45 ,7.55 ,-0.17 ,12.10 ,-2.94 ,-51.37 ,-0.83, 290, 100, 255, 16
125 ,32757 ,0.00 ,0.00 ,1055 ,5 ,-9.65 ,7.69 ,0.55 ,12.35 ,-1.36 ,-51.37 ,2.55, 296, 115, 255, 18
125 ,32757 ,0.00 ,0.00 ,1055 ,5 ,-10.45 ,6.64 ,0.40 ,12.39 ,-1.26 ,-57.53 ,1.87, 297, 116, 255, 15
125 ,32757 ,0.00 ,0.00 ,1055 ,5 ,-9.71 ,7.29 ,0.98 ,12.18 ,-1.36 ,-52.83 ,4.62, 292, 115, 255, 15
125 ,32757 ,0.00 ,0.00 ,1055 ,5 ,-9.87 ,7.48 ,0.35 ,12.39 ,-1.36 ,-52.83 ,1.65, 297, 115, 255, 16
68 ,32758 ,0.00 ,0.00 ,1055 ,2 ,-9.45 ,7.55 ,-0.17 ,12.10 ,-2.94 ,-51.37 ,-0.83, 290, 100, 255, 16
68 ,32758 ,0.00 ,0.00 ,1055 ,2 ,-11.62 ,4.30 ,0.23 ,12.39 ,-1.26 ,-69.63 ,1.08, 297, 116, 255, 15
163 ,32759 ,0.00 ,0.00 ,1051 ,7 ,-9.07 ,7.62 ,-0.04 ,11.85 ,-0.73 ,-49.96 ,-0.21, 284, 121, 255, 15
163 ,32759 ,0.00 ,0.00 ,1051 ,7 ,-9.07 ,7.62 ,0.05 ,11.85 ,-0.21 ,-49.96 ,0.24, 284, 126, 255, 15
163 ,32759 ,0.00 ,0.00 ,1051 ,7 ,-9.10 ,7.65 ,-0.09 ,11.89 ,-1.15 ,-49.96 ,-0.44, 285, 117, 255, 18
163 ,32759 ,0.00 ,0.00 ,1051 ,7 ,-9.57 ,7.23 ,0.57 ,12.02 ,-1.57 ,-52.83 ,2.74, 288, 113, 255, 22
163 ,32759 ,0.00 ,0.00 ,1051 ,7 ,-9.10 ,7.64 ,-0.17 ,11.89 ,-1.26 ,-49.96 ,-0.81, 285, 116, 255, 18
163 ,32759 ,0.00 ,0.00 ,1051 ,7 ,-9.57 ,7.24 ,0.48 ,12.02 ,-1.68 ,-52.83 ,2.32, 288, 112, 255, 21
163 ,32759 ,0.00 ,0.00 ,1051 ,7 ,-9.78 ,7.80 ,-0.49 ,12.52 ,-0.31 ,-51.37 ,-2.26, 300, 125, 255, 15
201 ,32760 ,0.00 ,0.00 ,1063 ,9 ,-9.01 ,7.56 ,0.33 ,11.76 ,-0.52 ,-49.96 ,1.62, 282, 123, 255, 20
201 ,32760 ,0.00 ,0.00 ,1063 ,9 ,-9.47 ,7.08 ,1.18 ,11.89 ,-1.47 ,-52.83 ,5.73, 285, 114, 255, 16
201 ,32760 ,0.00 ,0.00 ,1063 ,9 ,-9.35 ,7.47 ,0.13 ,11.97 ,-1.68 ,-51.37 ,0.63, 287, 112, 255, 19
201 ,32760 ,0.00 ,0.00 ,1063 ,9 ,-9.01 ,7.56 ,0.36 ,12.02 ,-1.57 ,-52.83 ,2.74, 288, 113, 255, 22
201 ,32760 ,0.00 ,0.00 ,1063 ,9 ,-9.35 ,7.47 ,-0.23 ,11.97 ,-1.57 ,-51.37 ,-1.11, 287, 113, 255, 18
201 ,32760 ,0.00 ,0.00 ,1063 ,9 ,-9.22 ,7.37 ,0.17 ,11.81 ,-0.52 ,-51.37 ,0.84, 283, 123, 255, 18
201 ,32760 ,0.00 ,0.00 ,1063 ,9 ,-9.32 ,7.44 ,0.36 ,11.93 ,-1.68 ,-51.37 ,1.74, 286, 112, 255, 15
201 ,32760 ,0.00 ,0.00 ,1063 ,9 ,-10.49 ,6.57 ,1.17 ,12.43 ,-1.26 ,-57.53 ,5.43, 298, 116, 255, 16
201 ,32760 ,0.00 ,0.00 ,1063 ,9 ,-9.94 ,7.53 ,-0.13 ,12.47 ,-0.31 ,-52.83 ,-0.60, 299, 125, 255, 15
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.41 ,7.07 ,0.95 ,11.81 ,-1.68 ,-52.83 ,4.65, 283, 112, 255, 15
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.01 ,7.57 ,-0.12 ,11.76 ,-0.21 ,-49.96 ,-0.61, 282, 126, 255, 19
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.13 ,7.67 ,-0.10 ,11.93 ,-2.10 ,-49.96 ,-0.51, 286, 108, 255, 22
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.32 ,7.44 ,0.33 ,11.93 ,-1.68 ,-51.37 ,1.61, 286, 112, 255, 19
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.13 ,7.67 ,-0.22 ,11.93 ,-2.20 ,-49.96 ,-1.08, 286, 107, 255, 20
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.04 ,7.58 ,-0.35 ,11.81 ,-0.21 ,-49.96 ,-1.73, 283, 126, 255, 16
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.32 ,7.44 ,0.36 ,11.93 ,-1.68 ,-51.37 ,1.74, 286, 112, 255, 15
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-10.49 ,6.57 ,1.17 ,12.43 ,-1.26 ,-57.53 ,5.43, 298, 116, 255, 16
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.94 ,7.53 ,-0.13 ,12.47 ,-0.31 ,-52.83 ,-0.60, 299, 125, 255, 15
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.97 ,7.56 ,-0.22 ,12.52 ,-1.05 ,-52.83 ,-1.02, 300, 118, 255, 18
239 ,32761 ,0.00 ,0.00 ,1063 ,11 ,-9.81 ,7.83 ,-0.34 ,12.56 ,-2.20 ,-49.96 ,-0.52, 285, 107, 255, 15
125 ,32762 ,0.00 ,0.00 ,1058 ,5 ,-9.41 ,7.07 ,0.95 ,11.81 ,-1.68 ,-52.83 ,4.65, 283, 112, 255, 15
125 ,32762 ,0.00 ,0.00 ,1058 ,5 ,-9.01 ,7.57 ,-0.12 ,11.76 ,-0.21 ,-49.96 ,-0.61, 282, 126, 255, 19
125 ,32762 ,0.00 ,0.00 ,1058 ,5 ,-9.07 ,7.61 ,0.44 ,11.85 ,-1.26 ,-49.96 ,2.13, 284, 116, 255, 16
125 ,32762 ,0.00 ,0.00 ,1058 ,5 ,-9.01 ,7.56 ,0.20 ,11.76 ,-0.21 ,-49.96 ,0.98, 282, 126, 255, 16
125 ,32762 ,0.00 ,0.00 ,1058 ,5 ,-9.07 ,7.59 ,0.70 ,11.85 ,-1.15 ,-49.96 ,3.42, 284, 117, 255, 15
125 ,32763 ,0.00 ,0.00 ,1031 ,5 ,-9.41 ,7.07 ,0.95 ,11.81 ,-1.68 ,-52.83 ,4.65, 283, 112, 255, 15
125 ,32763 ,0.00 ,0.00 ,1031 ,5 ,-9.01 ,7.57 ,-0.12 ,11.76 ,-0.21 ,-49.96 ,-0.61, 282, 126, 255, 19
125 ,32763 ,0.00 ,0.00 ,1031 ,5 ,-8.85 ,7.79 ,-0.48 ,11.81 ,-0.31 ,-48.59 ,-2.34, 283, 125, 255, 15
125 ,32763 ,0.00 ,0.00 ,1031 ,5 ,-9.01 ,7.56 ,-0.26 ,11.76 ,-0.31 ,-49.96 ,-1.26, 282, 125, 255, 15
125 ,32763 ,0.00 ,0.00 ,1031 ,5 ,-9.07 ,7.59 ,0.70 ,11.85 ,-1.15 ,-49.96 ,3.42, 284, 117, 255, 15
144 ,32764 ,0.00 ,0.00 ,1048 ,6 ,-8.94 ,7.49 ,0.53 ,11.68 ,-1.26 ,-49.96 ,2.64, 280, 116, 255, 16
144 ,32764 ,0.00 ,0.00 ,1048 ,6 ,-8.85 ,7.41 ,0.63 ,11.56 ,-1.47 ,-49.96 ,3.12, 277, 114, 255, 16
144 ,32764 ,0.00 ,0.00 ,1048 ,6 ,-8.73 ,7.70 ,0.10 ,11.64 ,-2.73 ,-48.59 ,0.53, 279, 102, 255, 19
144 ,32764 ,0.00 ,0.00 ,1048 ,6 ,-8.73 ,7.70 ,0.01 ,11.76 ,-0.31 ,-49.96 ,-1.26, 282, 125, 255, 15
144 ,32764 ,0.00 ,0.00 ,1048 ,6 ,-8.70 ,7.67 ,0.05 ,11.60 ,-2.73 ,-48.59 ,0.29, 278, 102, 255, 16
144 ,32764 ,0.00 ,0.00 ,1048 ,6 ,-8.70 ,7.65 ,0.60 ,11.60 ,-1.47 ,-48.59 ,2.96, 278, 114, 255, 15
144 ,32765 ,0.00 ,0.00 ,1038 ,6 ,-8.45 ,7.81 ,-0.07 ,11.51 ,-1.78 ,-47.25 ,-0.36, 276, 111, 255, 15
144 ,32765 ,0.00 ,0.00 ,1038 ,6 ,-8.85 ,7.38 ,0.91 ,11.56 ,-1.26 ,-49.96 ,4.52, 277, 116, 255, 20
144 ,32765 ,0.00 ,0.00 ,1038 ,6 ,-8.81 ,7.34 ,0.98 ,11.51 ,-1.26 ,-49.96 ,4.88, 276, 116, 255, 15
144 ,32765 ,0.00 ,0.00 ,1038 ,6 ,-8.73 ,7.70 ,0.01 ,11.60 ,-1.26 ,-48.59 ,4.12, 278, 116, 255, 19
144 ,32765 ,0.00 ,0.00 ,1038 ,6 ,-8.85 ,7.40 ,0.68 ,11.56 ,-1.15 ,-49.96 ,3.37, 277, 117, 255, 15
144 ,32765 ,0.00 ,0.00 ,1038 ,6 ,-8.88 ,7.44 ,0.47 ,11.60 ,-1.15 ,-49.96 ,2.35, 278, 117, 255, 15
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-8.78 ,7.34 ,0.71 ,11.47 ,-1.36 ,-49.96 ,3.56, 275, 115, 255, 20
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-8.57 ,7.56 ,-0.18 ,11.43 ,-1.68 ,-48.59 ,-0.95, 274, 112, 255, 19
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-8.42 ,7.77 ,-0.40 ,11.47 ,-1.68 ,-47.25 ,-2.01, 275, 112, 255, 16
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-8.78 ,7.33 ,0.88 ,11.47 ,-1.26 ,-49.96 ,4.40, 275, 116, 255, 19
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-8.57 ,7.56 ,-0.24 ,11.43 ,-1.78 ,-48.59 ,-1.23, 274, 111, 255, 15
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-8.88 ,7.44 ,0.47 ,11.60 ,-1.15 ,-49.96 ,2.35, 278, 117, 255, 15
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-8.73 ,7.70 ,-0.09 ,11.64 ,-2.31 ,-48.59 ,-0.46, 279, 106, 255, 20
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-8.94 ,7.49 ,0.62 ,11.68 ,-1.15 ,-49.96 ,3.05, 280, 117, 255, 16
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-8.70 ,7.67 ,-0.07 ,11.60 ,-2.20 ,-48.59 ,-0.35, 278, 107, 255, 15
220 ,32766 ,0.00 ,0.00 ,1048 ,10 ,-9.17 ,7.69 ,-0.40 ,11.97 ,-2.10 ,-49.96 ,-1.91, 287, 108, 255, 19
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-8.15 ,7.89 ,-0.16 ,11.35 ,-1.68 ,-45.95 ,-0.85, 272, 112, 255, 27
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-8.12 ,7.86 ,-0.13 ,11.31 ,-1.68 ,-45.95 ,-0.68, 271, 112, 255, 26
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-8.09 ,7.82 ,0.32 ,11.26 ,-1.57 ,-45.95 ,1.65, 270, 113, 255, 16
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-8.33 ,7.70 ,0.01 ,11.35 ,-1.47 ,-47.25 ,0.07, 272, 114, 255, 16
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-8.75 ,7.35 ,0.02 ,11.43 ,-1.47 ,-49.96 ,0.14, 274, 114, 255, 15
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-8.15 ,7.88 ,-0.22 ,11.35 ,-1.78 ,-45.95 ,-1.14, 272, 111, 255, 22
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-8.73 ,7.70 ,-0.09 ,11.64 ,-2.31 ,-48.59 ,-0.46, 279, 106, 255, 20
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-8.94 ,7.49 ,0.62 ,11.68 ,-1.15 ,-49.96 ,3.05, 280, 117, 255, 16
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-8.70 ,7.67 ,-0.07 ,11.60 ,-2.20 ,-48.59 ,-0.35, 278, 107, 255, 15
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-9.17 ,7.69 ,-0.40 ,11.97 ,-2.10 ,-49.96 ,-1.91, 287, 108, 255, 19
239 ,32767 ,0.00 ,0.00 ,1041 ,11 ,-9.10 ,7.65 ,-0.10 ,11.89 ,-1.68 ,-45.95 ,-1.07, 273, 112, 255, 18
296 ,32768 ,0.00 ,0.00 ,1080 ,14 ,-8.09 ,7.83 ,-0.22 ,11.26 ,-0.84 ,-45.95 ,-1.16, 270, 120, 255, 24
296 ,32768 ,0.00 ,0.00 ,1080 ,14 ,-8.09 ,7.83 ,0.00 ,11.26 ,-0.63 ,-45.95 ,0.00, 270, 122, 255, 19
296 ,32768 ,0.00 ,0.00 ,1080 ,14 ,-8.48 ,7.42 ,0.95 ,11.31 ,-1.26 ,-48.59 ,4.83, 271, 116, 255, 19
